Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Villeloup Myriam,0271076,Macon,CO S2F,10,9,9,9,8,8,9,9,9,9,8,8,X,9,8,8,7,7,X,X,10,10,8,7,X,9,9,9,8,7,X,10,10,9,8,8
Rigault Chupin Julie,1016003,Ruelle Sur Touvre,CO S2F,X,10,10,10,9,9,10,9,9,9,8,7,X,X,9,9,9,9,X,10,10,9,8,8,X,X,10,9,9,8,X,10,10,9,8,8
Rigault Chupin Julie,1016003,Ruelle Sur Touvre,CO S2F,X,9,9,9,9,8,X,X,10,9,9,9,X,10,9,9,9,8,X,10,9,9,9,9,X,10,10,10,10,9,X,10,10,9,9,9
Quinto Julie,0914003,Caen,CO S2F,9,9,8,7,7,7,10,10,9,8,8,7,10,10,9,8,7,5,X,9,9,8,8,7,10,9,9,9,8,8,10,10,9,9,8,7
Quinto Julie,0914003,Caen,CO S2F,X,10,9,8,8,6,10,9,9,9,8,5,10,9,9,9,8,6,X,X,10,10,9,9,X,10,9,9,9,8,9,8,8,8,8,7
De Bonfils Manon,0271076,Macon,CO U18F,X,9,9,8,8,6,X,9,9,9,8,6,10,9,9,8,8,7,X,9,9,9,9,6,X,9,9,8,8,M,X,10,7,7,7,M
De Bonfils Manon,0271076,Macon,CO U18F,X,10,8,8,8,6,10,10,8,7,7,6,9,8,8,7,7,6,X,9,8,7,7,6,X,10,9,8,6,M,10,7,7,7,7,6
Villemur Nathalie,0437083,St Avertin,CO S2F,10,9,9,9,8,8,9,9,9,9,9,8,10,9,9,9,9,8,10,10,10,9,9,8,X,10,9,9,8,8,X,10,10,9,9,9
Villemur Nathalie,0437083,St Avertin,CO S2F,10,10,9,9,8,8,X,10,9,9,5,5,X,9,9,9,9,9,X,10,9,9,9,8,X,10,9,9,9,8,X,X,9,9,9,9
Adam Olympe,1244009,Carquefou,CO S1F,X,10,10,9,9,9,10,10,9,9,9,7,X,X,10,10,9,9,X,9,9,9,9,9,X,10,9,9,9,9,10,9,9,9,9,9
Adam Olympe,1244009,Carquefou,CO S1F,10,10,9,9,9,9,10,10,9,9,9,9,X,X,10,9,9,8,X,10,9,9,8,8,X,10,9,9,9,7,10,10,9,8,8,6
Malgerard Isabelle,0893225,Neuilly Sur Marne,CO S3F,10,9,9,9,8,8,10,9,9,8,8,8,10,9,9,9,8,8,10,9,9,8,8,8,9,9,9,8,8,8,9,9,8,8,8,6
Malgerard Isabelle,0893225,Neuilly Sur Marne,CO S3F,10,10,10,9,9,9,10,9,9,9,9,8,X,9,9,9,8,8,10,10,9,9,8,5,X,10,9,8,8,7,10,9,9,8,8,8
Saliou Marie,0437083,St Avertin,CO S1F,10,9,9,9,9,9,X,X,10,10,10,9,10,10,10,9,9,8,X,X,10,10,10,9,X,X,X,10,10,8,X,10,10,9,9,9
Saliou Marie,0437083,St Avertin,CO S1F,10,10,10,10,9,9,X,X,10,9,9,9,X,10,9,9,9,9,X,10,10,9,9,9,X,X,10,9,9,9,10,10,10,9,9,9
Teillard Anne,1244009,Carquefou,CO S2F,X,9,9,8,8,8,10,9,9,9,8,8,X,9,9,8,8,8,X,10,9,9,8,7,10,10,9,9,8,7,X,10,9,9,9,9
Teillard Anne,1244009,Carquefou,CO S2F,10,9,9,8,7,6,10,9,9,9,9,8,10,9,9,9,8,8,10,9,9,8,8,8,10,10,10,9,9,8,X,10,10,9,9,8
Drelon Carole,0893225,Neuilly Sur Marne,CO S2F,X,10,10,10,9,8,10,9,9,9,9,7,10,10,9,9,9,8,X,10,9,9,9,9,10,10,10,10,9,9,X,9,9,9,9,9
Drelon Carole,0893225,Neuilly Sur Marne,CO S2F,9,9,9,9,8,7,X,10,9,9,9,9,X,10,9,9,8,8,X,10,9,9,9,9,X,9,9,9,9,9,9,9,9,9,8,5
Fraigneau Clemence,0437083,St Avertin,CO S1F,10,10,10,9,9,9,X,10,9,9,9,9,10,10,10,10,10,10,10,9,9,9,9,8,X,10,10,9,9,9,X,X,10,10,10,9
Fraigneau Clemence,0437083,St Avertin,CO S1F,X,X,10,10,9,9,10,10,10,10,9,9,X,X,10,9,9,8,10,10,10,10,9,9,X,X,10,9,9,8,X,10,9,9,9,8
Jobert Alexandra,1244009,Carquefou,CO S2F,9,9,9,8,8,8,10,9,9,9,8,7,X,9,9,9,9,8,X,X,10,10,9,9,10,9,9,9,8,8,X,10,9,9,9,7
Jobert Alexandra,1244009,Carquefou,CO S2F,X,9,9,9,8,8,10,9,9,9,9,8,10,10,10,10,10,10,X,X,X,10,10,9,X,X,10,10,9,9,X,X,10,9,9,9
Cadronet Candice,0893225,Neuilly Sur Marne,CO S1F,X,X,10,9,9,9,10,9,9,8,7,7,X,X,10,10,9,8,X,X,10,9,9,9,10,10,9,9,8,8,10,10,9,9,9,7
Cadronet Candice,0893225,Neuilly Sur Marne,CO S1F,10,9,9,9,9,8,X,X,10,10,9,8,X,9,9,9,9,9,10,10,9,9,9,8,10,9,9,9,8,7,10,9,9,9,9,7
Brianne Noemie,0437083,St Avertin,CO S1F,10,10,10,10,9,8,X,10,9,9,8,5,10,10,9,9,9,7,X,X,10,8,8,6,X,X,10,9,8,8,10,10,9,8,8,7
Brianne Noemie,0437083,St Avertin,CO S1F,X,10,10,9,8,8,X,X,9,9,7,7,10,9,9,9,8,7,10,9,9,9,9,8,X,10,8,8,8,8,X,10,10,9,9,7
Ferrand Aurelie,1244009,Carquefou,CO S2F,9,8,7,7,7,7,X,10,9,8,8,8,10,9,8,8,8,7,10,9,8,8,8,6,10,10,8,8,8,7,9,9,9,9,9,8
Ferrand Aurelie,1244009,Carquefou,CO S2F,10,9,8,8,8,6,10,9,9,8,7,7,9,9,8,8,7,6,10,9,8,8,7,5,9,9,9,8,8,6,X,8,8,6,6,M
Artigau Marine,0893225,Neuilly Sur Marne,CO S1F,10,10,9,9,9,8,10,9,9,9,9,8,X,10,10,10,9,9,X,10,10,10,9,9,X,9,9,9,9,9,X,10,10,9,9,9
Artigau Marine,0893225,Neuilly Sur Marne,CO S1F,10,10,9,9,8,7,10,10,9,9,8,8,10,10,10,9,8,8,10,9,9,9,9,9,X,9,9,8,8,8,X,X,10,10,8,8
Palaric Aenor,0760171,Compiegne,CO S1F,X,X,10,9,9,8,10,9,9,9,8,8,10,9,9,9,9,9,X,10,9,9,9,9,X,10,10,9,9,9,X,10,10,10,9,8
Palaric Aenor,0760171,Compiegne,CO S1F,X,9,9,9,9,8,X,10,10,10,9,8,X,10,10,10,9,8,X,X,10,9,9,8,10,10,9,9,9,9,X,X,10,9,9,8
Duhez Salima,0759129,Valenciennes,CO S2F,10,10,10,9,9,8,10,9,9,9,8,8,X,X,9,9,9,9,X,X,10,10,10,9,X,10,9,9,9,8,X,10,10,9,9,9
Duhez Salima,0759129,Valenciennes,CO S2F,9,9,9,9,8,8,X,X,X,10,10,7,10,10,9,9,9,8,10,10,10,9,9,8,10,10,10,9,9,8,X,10,9,9,9,8
Chiron Celine,0335067,Rennes Cie,CO S1F,10,9,9,9,8,7,10,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,7,7,X,9,9,9,9,8,10,10,10,9,9,9
Chiron Celine,0335067,Rennes Cie,CO S1F,10,10,10,10,9,8,X,9,9,9,8,7,X,10,10,9,8,6,X,X,9,8,8,7,10,9,9,8,8,8,10,10,9,9,8,7
Gaubil Melanie,0760171,Compiegne,CO S1F,10,10,9,9,9,8,10,10,10,9,9,9,X,X,10,9,8,8,X,X,X,10,10,9,X,10,10,9,9,8,X,X,10,9,9,9
Gaubil Melanie,0760171,Compiegne,CO S1F,X,X,10,9,9,8,X,X,9,9,9,8,X,10,9,9,9,9,X,10,9,9,8,8,10,10,9,9,9,9,X,9,9,8,8,7
Girard Marion,1313090,St Martin De Crau,CO S1F,X,10,10,9,8,8,X,10,10,9,9,8,X,10,10,10,9,8,X,10,10,10,10,10,10,10,10,9,9,9,X,10,10,10,9,9
Girard Marion,1313090,St Martin De Crau,CO S1F,X,10,9,9,8,8,10,10,10,10,10,9,10,10,9,9,9,8,X,X,10,10,9,8,X,10,10,10,10,9,10,10,9,9,9,9
Pourrier Pauline,0335067,Rennes Cie,CO S1F,X,10,9,9,9,8,10,10,10,9,9,8,X,10,9,9,8,7,X,10,9,9,9,8,X,10,9,9,9,9,X,10,10,9,8,8
Pourrier Pauline,0335067,Rennes Cie,CO S1F,10,9,9,9,9,8,X,X,X,10,9,8,X,10,9,9,9,7,10,10,9,8,8,8,10,10,9,9,8,8,10,10,10,10,9,9
Cellier Justine,0760171,Compiegne,CO U21F,X,10,9,9,8,8,X,X,10,9,9,8,X,10,10,9,9,9,10,9,9,9,9,9,X,10,9,9,9,9,X,10,9,9,9,8
Cellier Justine,0760171,Compiegne,CO U21F,X,9,9,9,9,9,X,X,10,10,10,9,X,10,10,10,9,9,X,10,10,9,9,9,10,10,10,9,9,9,X,X,X,10,10,9
Conesa Anna,1313090,St Martin De Crau,CO S2F,X,X,9,9,8,7,10,10,9,9,9,9,10,10,9,9,7,6,X,X,10,9,9,8,9,9,9,8,8,7,X,10,9,9,8,8
Conesa Anna,1313090,St Martin De Crau,CO S2F,10,10,9,9,8,8,X,10,10,9,8,8,10,9,9,9,9,9,10,10,10,9,9,7,X,9,9,9,8,8,10,9,9,9,9,8
Bablee Agnes,0335067,Rennes Cie,CO S2F,X,10,9,9,8,8,10,9,9,8,8,8,9,9,9,8,8,7,X,9,9,9,8,7,10,10,9,9,8,7,X,10,9,9,9,9
Bablee Agnes,0335067,Rennes Cie,CO S2F,X,10,10,9,9,9,X,X,9,9,8,8,X,10,10,9,9,8,10,9,9,9,8,8,X,10,10,9,9,9,X,X,X,10,8,7
Puiseux Ambre,0760171,Compiegne,CO S1F,X,10,10,10,9,9,X,10,10,10,9,9,X,X,10,10,10,10,X,X,10,10,9,9,X,X,X,10,10,10,X,X,10,10,9,9
Puiseux Ambre,0760171,Compiegne,CO S1F,X,X,X,10,10,10,X,10,10,10,10,9,X,10,9,9,9,9,X,10,10,10,9,9,X,X,10,10,9,9,X,10,10,10,9,9
Kiener Audrey,1313090,St Martin De Crau,CO S2F,9,9,9,7,7,6,9,9,9,9,9,9,10,10,9,9,8,7,X,10,10,9,9,7,9,9,8,8,8,7,X,10,10,10,9,9
Kiener Audrey,1313090,St Martin De Crau,CO S2F,10,9,9,9,8,7,X,9,9,8,7,6,X,X,10,10,9,8,X,9,8,8,8,8,10,10,9,9,8,7,X,X,9,9,9,7
Jeannin Lucie,0335067,Rennes Cie,CO S1F,9,9,9,9,9,9,X,10,10,10,9,9,X,X,10,10,9,9,X,10,10,9,9,9,10,9,9,9,9,8,X,X,10,10,9,8
Jeannin Lucie,0335067,Rennes Cie,CO S1F,10,9,9,9,9,8,X,X,9,9,9,9,10,10,9,9,8,8,X,10,10,9,9,8,X,X,X,10,10,9,10,9,9,9,9,9
Girault Lea,0760171,Compiegne,CO S1F,10,9,9,9,9,9,X,10,10,10,9,9,X,10,9,9,9,9,X,X,X,X,10,10,X,10,10,10,10,9,X,10,10,9,9,9
Girault Lea,0760171,Compiegne,CO S1F,X,X,10,9,9,9,X,X,10,10,10,9,X,X,10,10,10,10,X,10,10,10,9,8,X,10,10,9,9,9,X,X,X,10,10,10
Ferraud Alexia,1313090,St Martin De Crau,CO S1F,9,9,9,8,7,6,X,X,9,8,7,7,9,9,9,9,8,7,X,10,9,9,8,8,9,9,9,8,7,6,10,10,9,9,8,6
Ferraud Alexia,1313090,St Martin De Crau,CO S1F,9,9,8,8,8,8,X,10,9,9,9,8,9,9,9,8,7,7,X,9,9,9,9,8,9,9,8,8,7,6,10,9,9,9,9,8
O'sullivan Lucy,0335067,Rennes Cie,CO S1F,X,X,X,10,9,8,X,10,9,9,8,7,X,10,9,9,9,9,X,10,10,10,9,9,X,X,10,10,9,9,10,10,10,9,9,9
O'sullivan Lucy,0335067,Rennes Cie,CO S1F,X,X,X,10,8,8,10,10,10,10,9,9,10,10,9,9,9,9,10,10,9,9,9,7,10,9,9,9,8,8,X,X,10,10,9,9
Chirault Thomas,0163151,Clermont Ferrand Cie,CL S1H,X,X,10,9,9,9,10,9,9,9,9,9,X,10,9,9,9,9,X,10,10,10,9,9,10,10,9,9,9,9,X,X,10,10,10,8
Chirault Thomas,0163151,Clermont Ferrand Cie,CL S1H,X,10,10,9,9,9,X,X,10,10,9,9,X,10,10,10,10,9,X,10,10,9,8,8,X,10,10,10,9,9,X,10,10,10,9,9
Addis Baptiste,1130041,Nimes,CL U21H,X,X,X,10,9,9,10,10,10,10,9,9,X,10,10,9,9,9,X,10,10,10,9,9,X,X,10,9,9,9,10,10,9,9,9,9
Addis Baptiste,1130041,Nimes,CL U21H,X,10,10,10,10,9,X,X,10,10,10,9,X,X,10,10,9,9,X,X,10,9,9,9,X,10,10,10,10,9,X,10,9,9,9,7
Armand Raphael,0335067,Rennes Cie,CL U21H,X,10,10,9,9,8,10,10,9,9,9,8,X,9,9,9,9,8,9,9,8,7,7,7,X,10,10,9,9,9,10,9,9,9,9,8
Armand Raphael,0335067,Rennes Cie,CL U21H,X,10,10,10,10,9,9,9,9,9,8,8,X,10,9,9,8,7,X,X,X,9,9,9,10,10,9,9,9,9,10,9,9,9,9,7
Aubert Thomas,1130041,Nimes,CL S1H,10,9,9,8,8,7,X,10,9,9,9,8,X,10,10,8,8,8,X,10,9,8,8,8,10,9,9,9,9,7,X,9,9,8,8,7
Aubert Thomas,1130041,Nimes,CL S1H,10,9,9,9,9,8,X,10,9,9,8,8,X,10,9,9,9,7,9,9,8,8,8,7,X,10,10,9,9,9,X,10,9,9,8,8
Bernardi Nicolas,0335067,Rennes Cie,CL S1H,10,10,9,8,8,7,X,10,10,10,9,9,X,9,9,8,8,8,X,10,10,9,9,8,X,X,10,10,9,8,10,9,9,9,9,8
Bernardi Nicolas,0335067,Rennes Cie,CL S1H,X,10,10,10,9,9,10,10,10,9,9,8,10,10,10,9,9,9,10,10,9,9,9,9,X,X,10,10,9,9,X,10,9,9,8,8
Vautrin Jules,0163151,Clermont Ferrand Cie,CL S1H,X,9,9,9,8,8,9,9,9,9,8,8,X,10,10,9,9,9,10,10,9,9,9,5,9,9,9,8,7,7,10,9,9,8,8,6
Vautrin Jules,0163151,Clermont Ferrand Cie,CL S1H,9,9,9,9,8,8,10,9,9,8,8,8,10,10,10,9,9,9,X,9,9,9,8,8,9,9,9,9,8,7,10,10,9,9,9,7
Renaudineau Alexis,1130041,Nimes,CL U21H,10,10,9,9,8,8,10,10,9,9,9,9,X,10,9,9,8,8,X,X,10,10,9,9,9,9,9,9,8,8,X,10,10,10,9,8
Renaudineau Alexis,1130041,Nimes,CL U21H,10,10,10,8,8,8,10,10,10,9,9,9,X,X,10,9,9,9,10,10,9,9,9,8,10,9,9,9,9,7,X,10,9,9,8,7
Verzier-Rousson Iewan,0335067,Rennes Cie,CL S1H,10,10,9,9,9,9,10,10,10,9,8,8,9,9,9,9,8,8,10,10,9,9,9,8,X,10,10,9,8,8,X,9,9,9,9,8
Verzier-Rousson Iewan,0335067,Rennes Cie,CL S1H,X,X,10,9,8,8,X,10,10,9,9,8,X,9,9,9,9,7,X,X,10,9,9,8,X,10,10,10,9,9,X,10,9,9,9,8
Viale Romain,0163151,Clermont Ferrand Cie,CL S1H,X,10,9,8,8,7,10,9,9,9,8,7,X,10,10,10,9,9,10,9,9,9,9,8,X,10,10,10,9,8,X,X,9,9,8,8
Viale Romain,0163151,Clermont Ferrand Cie,CL S1H,X,X,10,9,9,8,10,9,9,9,9,8,10,9,9,9,8,8,X,9,9,9,9,8,X,10,10,9,9,9,10,9,9,9,9,9
Valladont Jean Charles,1130041,Nimes,CL S1H,10,9,9,9,9,8,X,X,10,10,9,9,10,10,9,9,8,8,10,10,9,9,9,7,10,10,10,9,9,9,9,9,9,9,8,8
Valladont Jean Charles,1130041,Nimes,CL S1H,10,10,9,9,9,8,X,10,10,9,8,8,X,10,9,9,9,9,10,10,9,9,8,8,X,10,9,8,8,8,10,10,9,9,9,9
Pigeaud Damien,0335067,Rennes Cie,CL S2H,X,10,10,10,9,9,9,9,9,8,8,6,9,9,8,8,8,7,10,10,9,9,9,8,X,10,10,9,8,8,9,9,9,9,9,8
Pigeaud Damien,0335067,Rennes Cie,CL S2H,X,9,9,9,8,8,X,10,9,9,8,8,9,9,9,9,9,7,10,10,9,9,7,7,10,10,9,8,7,7,9,9,8,8,8,7
Jacquey Clement,0163151,Clermont Ferrand Cie,CL S1H,X,10,9,8,7,7,10,10,9,9,9,8,X,X,10,9,9,8,10,9,9,9,8,7,10,10,9,8,8,8,9,9,9,9,9,9
Jacquey Clement,0163151,Clermont Ferrand Cie,CL S1H,X,X,10,9,9,9,10,9,9,9,8,8,X,10,10,9,8,8,9,9,9,8,8,8,X,9,9,9,9,8,X,X,10,9,9,8
Eyeni Franck,1130041,Nimes,CL S1H,10,9,9,9,9,8,9,9,9,8,8,7,X,10,9,9,8,8,9,8,7,7,7,7,X,9,8,8,8,8,X,10,9,9,9,7
Eyeni Franck,1130041,Nimes,CL S1H,10,9,9,9,8,8,X,10,9,9,9,9,10,10,10,8,8,7,10,10,9,8,8,7,9,9,8,8,8,8,9,9,8,8,7,6
Helye Thomas,0335067,Rennes Cie,CL U21H,10,10,9,9,8,8,9,9,9,8,8,8,X,9,9,9,8,7,10,10,9,9,8,8,X,10,9,9,8,6,10,9,9,8,7,6
Helye Thomas,0335067,Rennes Cie,CL U21H,X,10,9,8,7,7,9,8,8,8,7,7,9,9,9,9,8,7,10,9,9,9,8,7,10,10,9,9,8,7,10,10,9,7,7,7
Harmand Maxence,0760171,Compiegne,CL U18H,X,10,10,10,9,7,10,10,9,9,9,8,10,9,9,9,8,8,10,9,9,9,8,7,X,10,10,10,9,9,9,9,9,8,8,7
Harmand Maxence,0760171,Compiegne,CL U18H,9,9,8,8,8,7,X,X,10,9,9,9,X,10,9,9,9,9,10,9,9,9,8,8,9,9,8,8,8,8,X,9,9,7,7,7
Barbier Anthony,0289107,Brienon/Armancon,CL S1H,9,9,8,8,7,7,8,8,8,8,8,8,10,9,9,9,9,8,10,9,9,9,8,7,9,9,8,8,8,8,X,10,10,9,8,7
Barbier Anthony,0289107,Brienon/Armancon,CL S1H,10,10,9,9,9,8,X,9,9,9,9,8,10,9,9,9,9,8,10,9,9,9,9,8,X,10,9,8,8,7,10,10,9,9,9,8
Hepp Kylan,0163157,Riom,CL U18H,10,9,9,9,8,8,10,9,9,9,9,8,X,10,9,9,9,8,9,9,9,9,9,9,X,X,10,9,9,9,10,10,9,9,9,8
Hepp Kylan,0163157,Riom,CL U18H,9,9,9,9,9,8,10,9,9,9,8,8,10,10,9,9,9,8,X,10,10,9,9,9,X,X,9,9,9,8,X,X,9,9,9,9
Herlicq Sam,0760171,Compiegne,CL S1H,10,9,9,9,9,9,X,9,9,9,8,8,10,10,9,8,7,7,10,10,9,9,8,8,X,X,X,10,10,8,10,9,9,9,9,8
Herlicq Sam,0760171,Compiegne,CL S1H,X,X,10,9,9,8,X,10,9,9,9,9,X,10,9,9,9,8,X,10,9,9,9,8,X,10,10,9,9,9,10,9,8,8,7,7
Collaud-Brethenet Evann,0289107,Brienon/Armancon,CL S1H,9,9,9,9,8,8,X,10,9,9,9,9,10,9,9,9,8,8,9,9,9,9,7,7,9,9,9,9,8,8,9,9,9,8,8,6
Collaud-Brethenet Evann,0289107,Brienon/Armancon,CL S1H,10,10,10,9,8,8,10,10,9,9,8,8,10,10,9,9,8,8,X,10,9,8,8,8,10,9,9,8,8,8,10,9,9,9,9,8
Fichet Romain,0163157,Riom,CL S1H,10,10,9,9,9,8,X,10,10,9,9,9,10,9,9,8,8,8,10,10,9,9,9,8,10,10,10,9,9,9,X,X,9,9,8,7
Fichet Romain,0163157,Riom,CL S1H,10,10,10,9,9,8,10,10,9,9,8,8,10,9,9,9,8,8,9,9,9,8,8,5,X,10,10,9,9,8,X,10,9,9,9,8
Pedoux Jules,0760171,Compiegne,CL U21H,X,X,X,9,9,7,10,9,9,9,8,8,X,X,10,9,8,8,10,10,9,9,8,8,10,10,9,9,9,7,X,10,9,9,7,7
Pedoux Jules,0760171,Compiegne,CL U21H,X,10,9,9,9,8,10,10,9,9,9,8,9,9,9,9,9,8,X,9,9,9,8,8,X,X,10,9,9,8,X,10,10,9,9,7
Corsin Valentin,0289107,Brienon/Armancon,CL S1H,10,9,9,8,8,5,10,9,8,8,5,4,9,9,8,7,6,4,X,10,9,9,9,7,9,9,8,8,8,8,10,9,9,9,8,7
Corsin Valentin,0289107,Brienon/Armancon,CL S1H,X,10,10,10,9,9,9,9,9,8,8,8,10,10,9,9,8,8,X,X,X,10,9,5,X,10,9,9,7,7,10,10,10,10,9,8
