Nom,Id_Club,Club,Catégorie,Volee_1_Score_1,Volee_1_Score_2,Volee_1_Score_3,Volee_1_Score_4,Volee_1_Score_5,Volee_1_Score_6,Volee_2_Score_1,Volee_2_Score_2,Volee_2_Score_3,Volee_2_Score_4,Volee_2_Score_5,Volee_2_Score_6,Volee_3_Score_1,Volee_3_Score_2,Volee_3_Score_3,Volee_3_Score_4,Volee_3_Score_5,Volee_3_Score_6,Volee_4_Score_1,Volee_4_Score_2,Volee_4_Score_3,Volee_4_Score_4,Volee_4_Score_5,Volee_4_Score_6,Volee_5_Score_1,Volee_5_Score_2,Volee_5_Score_3,Volee_5_Score_4,Volee_5_Score_5,Volee_5_Score_6,Volee_6_Score_1,Volee_6_Score_2,Volee_6_Score_3,Volee_6_Score_4,Volee_6_Score_5,Volee_6_Score_6
Jangnas Erika,0437083,St Avertin,CL S1F,X,9,9,8,7,6,9,9,9,8,8,6,10,9,9,9,8,7,X,X,9,8,8,7,X,X,9,8,8,8,10,10,10,10,9,9
Jangnas Erika,0437083,St Avertin,CL S1F,10,9,9,9,9,8,X,10,9,9,8,5,X,X,9,9,9,8,9,9,8,8,8,7,9,9,9,9,8,8,10,10,9,9,9,8
Diombo Esmei Anne Marcelle,1130041,Nimes,CL S1F,9,8,8,8,8,6,10,9,9,8,8,7,9,9,9,8,8,7,9,8,7,7,6,3,8,8,8,8,7,6,9,9,9,5,3,2
Diombo Esmei Anne Marcelle,1130041,Nimes,CL S1F,10,9,8,8,8,4,9,8,8,7,6,4,X,10,9,9,8,7,X,9,9,8,6,5,10,10,8,7,5,2,9,8,6,6,6,M
Barbelin Lisa,0163157,Riom,CL S1F,X,10,10,10,9,8,X,X,10,9,9,8,10,9,9,8,8,8,X,X,10,9,9,9,10,10,9,9,9,9,X,10,9,9,9,9
Barbelin Lisa,0163157,Riom,CL S1F,10,10,9,9,9,8,10,10,9,9,8,8,10,9,8,8,8,8,X,X,10,9,9,8,X,10,9,9,9,7,X,X,10,9,9,8
Lacroix Emilie,0437083,St Avertin,CL S1F,10,9,8,8,7,7,X,10,10,9,9,8,10,10,9,9,8,7,X,9,9,8,8,7,9,9,9,8,8,8,10,9,9,8,7,7
Lacroix Emilie,0437083,St Avertin,CL S1F,X,10,9,9,9,6,X,10,9,9,9,8,X,10,9,9,9,8,X,10,9,9,8,8,9,9,9,9,8,4,X,10,10,9,9,8
Fremery-Delestan Mila,1130041,Nimes,CL U21F,X,8,8,7,7,7,X,10,10,9,9,9,9,9,9,9,9,9,X,X,10,9,8,8,10,9,9,8,8,8,X,9,9,9,8,8
Fremery-Delestan Mila,1130041,Nimes,CL U21F,10,9,9,9,8,8,10,10,9,9,8,7,X,9,9,9,9,8,X,10,10,9,9,7,X,9,9,9,8,8,X,X,10,10,9,9
Er'rahmouni Siham,0163157,Riom,CL U21F,X,10,9,9,8,8,10,9,9,9,8,7,X,10,10,9,9,9,10,10,9,8,8,2,X,9,9,9,9,8,10,10,10,9,9,8
Er'rahmouni Siham,0163157,Riom,CL U21F,X,9,9,9,9,8,X,9,9,9,9,8,X,10,9,9,8,8,9,9,9,8,8,8,X,10,9,9,7,7,X,10,10,8,8,7
Lefranc Judith,0437083,St Avertin,CL U18F,10,9,9,8,8,8,9,9,8,8,7,7,10,10,9,9,8,8,9,9,9,8,8,6,9,8,7,7,7,6,X,X,10,9,8,6
Lefranc Judith,0437083,St Avertin,CL U18F,10,9,9,8,8,8,X,10,9,9,8,7,X,X,10,9,8,8,X,10,9,8,8,7,X,X,9,8,8,7,9,9,8,8,7,6
Sebastian Victoria,1130041,Nimes,CL S1F,10,10,10,9,9,7,10,10,8,8,8,7,X,9,9,9,9,8,X,10,10,9,9,8,10,9,9,9,8,8,10,10,9,9,9,8
Sebastian Victoria,1130041,Nimes,CL S1F,10,10,9,9,9,8,X,10,9,9,9,8,9,9,9,9,9,8,X,10,10,9,9,8,9,9,9,9,9,7,X,9,9,9,9,9
Lopez Caroline,0163157,Riom,CL S1F,10,10,10,9,8,8,9,9,9,8,8,7,X,10,9,9,9,7,10,9,9,9,9,7,10,9,9,9,9,7,X,9,8,8,8,8
Lopez Caroline,0163157,Riom,CL S1F,9,9,9,9,9,8,10,10,9,9,9,8,X,X,9,9,9,7,10,10,10,9,8,7,X,10,9,9,8,7,X,10,9,9,9,8
Picquier Marine,0437083,St Avertin,CL S1F,X,X,9,9,8,7,10,9,9,9,8,8,8,8,8,7,7,5,10,9,8,8,8,6,9,9,9,8,8,8,10,9,8,8,8,7
Picquier Marine,0437083,St Avertin,CL S1F,9,9,9,9,8,8,X,X,X,9,8,8,10,9,9,8,8,7,10,10,9,9,8,7,10,9,8,7,7,6,9,9,9,9,7,5
Ramel Aziliz,0163157,Riom,CL S1F,10,8,8,8,8,8,9,9,9,8,8,5,X,9,8,7,7,7,9,9,8,8,7,3,9,9,9,9,7,7,8,8,8,7,6,4
Ramel Aziliz,0163157,Riom,CL S1F,X,10,9,9,9,6,10,10,9,9,8,6,10,9,9,9,9,8,X,10,9,8,7,7,X,10,10,9,9,9,X,10,9,7,6,4
Coupard Anael,0335067,Rennes Cie,CL S1F,10,9,8,7,6,5,X,10,10,10,8,8,9,9,8,7,7,6,X,8,8,8,8,7,X,9,9,9,8,7,10,10,8,8,8,8
Coupard Anael,0335067,Rennes Cie,CL S1F,9,9,9,8,8,7,X,9,9,8,7,7,X,X,9,8,8,7,X,10,9,9,8,8,9,9,9,8,8,7,9,8,8,8,8,7
Blondel Romane,0289107,Brienon/Armancon,CL S1F,10,10,9,8,8,7,X,9,9,8,7,7,10,10,9,9,9,8,10,10,10,10,9,9,9,9,8,8,6,6,X,9,9,8,8,7
Blondel Romane,0289107,Brienon/Armancon,CL S1F,X,10,9,9,7,7,10,9,9,9,8,7,10,9,8,8,7,6,10,8,8,8,8,5,X,10,10,9,8,8,10,10,8,8,7,7
Lapouge Aurane,0163157,Riom,CL U18F,9,8,7,6,6,6,X,10,9,8,8,6,9,8,8,7,7,6,10,10,9,8,8,7,X,10,9,8,8,7,9,9,8,8,8,7
Lapouge Aurane,0163157,Riom,CL U18F,10,9,9,9,7,7,9,9,9,8,7,5,10,10,9,8,7,7,9,9,8,8,7,6,X,9,8,8,8,7,9,9,9,8,8,7
Danes Agathe,0335067,Rennes Cie,CL U18F,9,9,8,8,8,6,9,9,8,8,7,3,9,9,9,8,8,7,X,10,9,6,5,5,10,8,8,7,7,3,9,8,7,7,7,7
Danes Agathe,0335067,Rennes Cie,CL U18F,10,9,9,8,8,7,10,9,9,9,8,7,10,9,9,9,6,6,9,9,8,8,8,7,8,8,8,8,7,7,9,9,8,7,7,4
Chollet Louise,0289107,Brienon/Armancon,CL U21F,9,7,7,7,7,6,X,9,8,7,6,5,9,8,8,6,6,6,8,8,7,7,7,6,8,8,7,7,6,6,10,9,8,8,6,4
Chollet Louise,0289107,Brienon/Armancon,CL U21F,10,10,9,9,8,8,10,9,8,8,7,6,10,9,9,8,6,6,9,7,7,7,7,6,10,8,8,7,5,5,9,9,8,8,8,6
Seychal Lena,0163157,Riom,CL U18F,9,8,7,7,6,5,10,8,8,7,7,5,10,9,8,8,7,6,10,10,9,9,8,8,10,8,8,8,7,6,10,9,9,9,7,6
Seychal Lena,0163157,Riom,CL U18F,9,9,9,9,9,7,9,9,8,8,8,5,9,9,8,8,7,5,9,9,8,8,8,7,X,9,9,7,7,7,9,9,8,8,8,6
Durel Jeanne,0335067,Rennes Cie,CL S1F,9,9,8,8,8,7,10,10,9,8,7,5,9,8,8,7,7,6,10,9,8,7,6,5,X,9,9,8,8,7,10,9,9,8,8,4
Durel Jeanne,0335067,Rennes Cie,CL S1F,10,9,9,8,8,8,X,10,10,8,8,6,9,9,7,6,6,5,8,8,7,7,6,4,X,10,8,8,6,4,10,8,6,6,5,M
Parnat Reena,0289107,Brienon/Armancon,CL S1F,X,X,10,9,8,8,10,10,10,9,8,7,10,10,9,8,8,8,10,10,9,7,6,5,10,9,9,9,9,8,10,10,9,8,8,8
Parnat Reena,0289107,Brienon/Armancon,CL S1F,X,10,9,9,9,8,10,10,10,9,9,8,X,9,9,9,9,8,10,9,9,7,7,6,10,10,9,9,9,8,X,9,9,8,7,M
Cohendet Angeline,0169178,Brignais,CL S1F,10,10,9,9,9,8,9,9,9,8,8,8,9,9,9,9,8,8,X,X,9,9,8,8,9,9,9,9,9,6,X,X,9,9,8,7
Cohendet Angeline,0169178,Brignais,CL S1F,10,9,8,8,8,8,10,10,9,9,8,8,X,10,10,9,9,8,10,9,9,9,8,8,X,X,9,9,9,8,10,10,9,9,9,8
Idensen Elina,0335067,Rennes Cie,CL S1F,10,9,9,8,8,8,10,10,9,9,8,8,10,9,9,8,8,7,10,9,9,9,8,8,10,10,9,9,9,8,X,10,9,9,8,7
Idensen Elina,0335067,Rennes Cie,CL S1F,10,9,9,9,7,7,X,9,9,9,9,9,X,10,9,9,8,5,X,10,10,9,9,9,9,9,9,8,7,7,X,10,9,8,8,7
Wonneberger Natacha,0289107,Brienon/Armancon,CL S1F,X,10,9,9,7,7,9,9,9,8,8,7,9,9,8,8,8,6,X,8,8,7,7,7,X,10,9,9,9,8,X,9,9,9,8,8
Wonneberger Natacha,0289107,Brienon/Armancon,CL S1F,9,9,9,9,8,7,10,9,9,8,8,7,X,10,9,9,8,8,10,9,9,9,8,8,X,9,9,8,8,6,9,8,8,8,8,7
Regis Stephanie,0169178,Brignais,CL S2F,10,9,8,7,6,6,9,9,8,8,7,5,9,9,8,7,7,5,9,9,8,7,6,5,10,10,9,8,8,6,X,9,8,8,8,5
Regis Stephanie,0169178,Brignais,CL S2F,9,8,7,7,7,6,10,9,9,8,7,4,9,9,8,8,7,4,10,9,9,8,7,7,10,9,8,8,6,6,10,9,9,8,7,7
Berce Marie,0760171,Compiegne,CL S1F,10,10,8,8,7,5,X,9,9,8,8,8,10,9,7,7,7,4,X,10,9,9,8,5,10,9,9,8,8,7,10,9,8,8,7,7
Berce Marie,0760171,Compiegne,CL S1F,X,10,9,7,6,6,X,9,9,8,8,7,10,10,10,9,9,9,X,X,10,10,8,8,8,8,7,7,6,4,10,10,10,10,9,4
Peslier Eugenie,0289107,Brienon/Armancon,CL S1F,10,9,8,8,7,6,X,10,9,8,8,6,10,10,9,9,8,8,9,9,7,6,6,6,X,10,10,9,8,7,10,10,8,8,7,5
Peslier Eugenie,0289107,Brienon/Armancon,CL S1F,10,10,10,9,9,9,X,10,10,9,7,6,X,10,10,9,8,8,9,8,8,6,5,5,9,9,7,6,6,6,10,9,9,8,8,7
Rogazy Berangere,0169178,Brignais,CL S1F,10,10,9,9,7,7,X,10,9,8,8,6,9,9,9,9,8,6,X,10,9,9,9,7,10,9,9,9,9,8,9,9,8,8,7,7
Rogazy Berangere,0169178,Brignais,CL S1F,X,10,9,8,8,7,X,9,9,8,8,7,X,10,10,10,8,4,10,9,9,8,8,7,10,9,8,8,8,8,X,10,9,9,7,6
Berguin Manon,0760171,Compiegne,CL S1F,9,9,9,9,7,6,9,9,8,8,8,6,9,9,9,9,8,8,9,9,9,9,8,7,9,9,8,8,8,7,10,9,8,8,7,7
Berguin Manon,0760171,Compiegne,CL S1F,X,10,9,8,6,6,X,10,9,9,9,7,10,10,9,8,7,6,9,9,8,8,7,6,10,9,8,8,8,8,9,9,9,8,8,8
Bresson Celia,0892203,Issy Les Moulineaux,CL S1F,9,8,7,6,6,5,X,10,9,9,5,5,9,8,8,8,6,5,9,9,9,8,8,5,10,9,9,8,7,7,X,X,10,9,7,6
Bresson Celia,0892203,Issy Les Moulineaux,CL S1F,9,9,8,8,7,6,10,10,9,8,7,7,9,9,8,8,8,8,10,9,9,8,8,7,10,9,8,7,7,7,10,10,8,8,7,7
Vignon Anais,0169178,Brignais,CL S1F,9,9,9,8,7,7,X,9,9,8,8,7,10,9,9,8,8,8,9,9,9,8,8,7,10,10,9,8,8,7,10,10,9,9,8,8
Vignon Anais,0169178,Brignais,CL S1F,10,10,9,8,8,7,10,10,9,8,8,8,X,10,10,10,9,7,9,9,9,8,8,7,10,10,9,9,9,8,9,9,8,8,7,7
Botte Louise,0760171,Compiegne,CL S1F,9,9,8,8,8,8,10,10,9,8,7,6,10,10,9,7,6,4,10,9,9,9,9,8,9,9,8,8,8,7,10,9,9,9,8,7
Botte Louise,0760171,Compiegne,CL S1F,10,9,9,8,7,4,10,10,9,9,9,6,9,9,9,9,8,8,9,9,9,8,7,6,X,10,9,8,8,7,X,9,8,8,7,7
Devaux Jennifer,0892203,Issy Les Moulineaux,CL S1F,9,9,9,9,8,8,10,9,8,8,8,8,X,10,9,8,7,5,X,10,9,9,9,8,X,10,9,9,8,8,9,9,8,8,8,8
Devaux Jennifer,0892203,Issy Les Moulineaux,CL S1F,10,9,9,9,8,6,10,9,9,9,9,9,10,9,9,7,7,7,9,9,9,9,8,8,X,8,8,8,7,7,10,10,10,9,7,7
Pringez Camille,0169178,Brignais,CL S1F,9,9,9,9,8,7,10,9,9,8,7,6,9,9,8,7,7,7,10,9,9,8,8,5,10,9,9,8,8,7,X,10,10,9,9,7
Pringez Camille,0169178,Brignais,CL S1F,10,9,9,9,8,7,9,9,8,8,8,7,X,9,9,8,8,7,X,9,8,8,8,5,10,8,8,7,6,6,9,9,9,8,8,8
